trade_date,underlying,spot,r,q,option_type,maturity_date,strike,market_price
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,300.0,133.325
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,295.0,137.7
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,290.0,142.6
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,285.0,147.3
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,280.0,151.2
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,275.0,155.95
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,270.0,160.3
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,265.0,164.95
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,260.0,169.675
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,255.0,174.7
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,250.0,179.27499999999998
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,245.0,183.0
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,240.0,188.925
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,235.0,193.675
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,230.0,198.175
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,225.0,203.2
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,220.0,207.675
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,215.0,213.0
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,210.0,217.625
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,205.0,222.65
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,200.0,226.825
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,195.0,232.325
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,190.0,236.85000000000002
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,185.0,241.75
2025-09-19,TSLA,423.1499938964844,0.03877999782562256,0.0,C,2025-12-19,180.0,245.925
